protein.key;protein.Entry;protein.Accession;protein.Description;protein.dataBaseType;protein.score;protein.falsePositiveRate;protein.avgMass;protein.MatchedProducts;protein.matchedPeptides;protein.digestPeps;protein.seqCover(%);protein.MatchedPeptideIntenSum;protein.top3MatchedPeptideIntenSum;protein.MatchedProductIntenSum;protein.fmolOnColumn;protein.ngramOnColumn;protein.AutoCurate;protein.Key_ForHomologs
1421;H2AZ_MOUSE;P0C0S6;Histone H2A.Z OS=Mus musculus OX=10090 GN=H2az1 PE=1 SV=2;Regular;6.454.991;0.00;135.527.525;15;2;9;12.50;15844;23766;8311;;;Green;221 222 223 224 225 226 227 228 229 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
229;H2A1P_MOUSE;C0HKE9;Histone H2A type 1-P OS=Mus musculus OX=10090 GN=Hist1h2ap PE=1 SV=1;Regular;6.454.991;0.00;141.355.084;15;2;9;12.31;15844;0;8311;;;Green;221 222 223 224 225 226 227 228 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
228;H2A1O_MOUSE;C0HKE8;Histone H2A type 1-O OS=Mus musculus OX=10090 GN=Hist1h2ao PE=1 SV=1;Regular;6.454.991;0.00;141.355.084;15;2;9;12.31;15844;0;8311;;;Green;221 222 223 224 225 226 227 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
227;H2A1N_MOUSE;C0HKE7;Histone H2A type 1-N OS=Mus musculus OX=10090 GN=Hist1h2an PE=1 SV=1;Regular;6.454.991;0.00;141.355.084;15;2;9;12.31;15844;0;8311;;;Green;221 222 223 224 225 226 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
226;H2A1I_MOUSE;C0HKE6;Histone H2A type 1-I OS=Mus musculus OX=10090 GN=H2ac13 PE=1 SV=1;Regular;6.454.991;0.00;141.355.084;15;2;9;12.31;15844;0;8311;;;Green;221 222 223 224 225 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
225;H2A1G_MOUSE;C0HKE5;Histone H2A type 1-G OS=Mus musculus OX=10090 GN=H2ac11 PE=1 SV=1;Regular;6.454.991;0.00;141.355.084;15;2;9;12.31;15844;0;8311;;;Green;221 222 223 224 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
224;H2A1E_MOUSE;C0HKE4;Histone H2A type 1-E OS=Mus musculus OX=10090 GN=H2ac8 PE=1 SV=1;Regular;6.454.991;0.00;141.355.084;15;2;9;12.31;15844;0;8311;;;Green;221 222 223 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
223;H2A1D_MOUSE;C0HKE3;Histone H2A type 1-D OS=Mus musculus OX=10090 GN=H2ac7 PE=1 SV=1;Regular;6.454.991;0.00;141.355.084;15;2;9;12.31;15844;0;8311;;;Green;221 222 224 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
222;H2A1C_MOUSE;C0HKE2;Histone H2A type 1-C OS=Mus musculus OX=10090 GN=H2ac6 PE=1 SV=1;Regular;6.454.991;0.00;141.355.084;15;2;9;12.31;15844;0;8311;;;Green;221 223 224 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
221;H2A1B_MOUSE;C0HKE1;Histone H2A type 1-B OS=Mus musculus OX=10090 GN=H2ac4 PE=1 SV=1;Regular;6.454.991;0.00;141.355.084;15;2;9;12.31;15844;0;8311;;;Green;222 223 224 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
5011;H2A2B_MOUSE;Q64522;Histone H2A type 2-B OS=Mus musculus OX=10090 GN=H2ac21 PE=1 SV=3;Regular;6.106.357;0.00;140.133.593;11;1;9;6.92;14397;0;7444;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5012 5147 5878 6628 6629 6630 10637 11810
1236;K2C1_MOUSE;P04104;Keratin_ type II cytoskeletal 1 OS=Mus musculus OX=10090 GN=Krt1 PE=1 SV=4;Regular;2.515.190;0.00;661.192.737;22;2;51;3.77;28594;42891;15608;;;Green;9339 11017 11038 13831
6627;H2B1P_MOUSE;Q8CGP2;Histone H2B type 1-P OS=Mus musculus OX=10090 GN=Hist1h2bp PE=1 SV=3;Regular;2.348.192;0.00;139.922.965;12;2;15;15.08;9049;0;7938;;;Green;1489 1490 3262 4998 4999 5013 5014 5448 6625 6626 8300
6626;H2B1K_MOUSE;Q8CGP1;Histone H2B type 1-K OS=Mus musculus OX=10090 GN=H2bc12 PE=1 SV=3;Regular;2.348.192;0.00;139.201.895;12;2;15;15.08;9049;0;7938;;;Green;1489 1490 3262 4998 4999 5013 5014 5448 6625 6627 8300
5448;H2B1C_MOUSE;Q6ZWY9;Histone H2B type 1-C/E/G OS=Mus musculus OX=10090 GN=H2bc4 PE=1 SV=3;Regular;2.348.192;0.00;139.061.627;12;2;15;15.08;9049;0;7938;;;Green;1489 1490 3262 4998 4999 5013 5014 6625 6626 6627 8300
5014;H2B2B_MOUSE;Q64525;Histone H2B type 2-B OS=Mus musculus OX=10090 GN=Hist2h2bb PE=1 SV=3;Regular;2.348.192;0.00;139.201.896;12;2;15;15.08;9049;0;7938;;;Green;1489 1490 3262 4998 4999 5013 5448 6625 6626 6627 8300
4999;H2B1H_MOUSE;Q64478;Histone H2B type 1-H OS=Mus musculus OX=10090 GN=H2bc9 PE=1 SV=3;Regular;2.348.192;0.00;139.201.896;12;2;15;15.08;9049;0;7938;;;Green;1489 1490 3262 4998 5013 5014 5448 6625 6626 6627 8300
4998;H2B1B_MOUSE;Q64475;Histone H2B type 1-B OS=Mus musculus OX=10090 GN=H2bc3 PE=1 SV=3;Regular;2.348.192;0.00;139.521.883;12;2;15;15.08;9049;0;7938;;;Green;1489 1490 3262 4999 5013 5014 5448 6625 6626 6627 8300
1490;H2B1M_MOUSE;P10854;Histone H2B type 1-M OS=Mus musculus OX=10090 GN=H2bc14 PE=1 SV=2;Regular;2.348.192;0.00;139.361.890;12;2;15;15.08;9049;0;7938;;;Green;1489 3262 4998 4999 5013 5014 5448 6625 6626 6627 8300
1489;H2B1F_MOUSE;P10853;Histone H2B type 1-F/J/L OS=Mus musculus OX=10090 GN=H2bc7 PE=1 SV=2;Regular;2.348.192;0.00;139.361.889;12;2;15;15.08;9049;13573.5;7938;;;Green;1490 3262 4998 4999 5013 5014 5448 6625 6626 6627 8300
13831;K2C74_MOUSE;Q6IFZ9;Keratin_ type II cytoskeletal 74 OS=Mus musculus OX=10090 GN=Krt74 PE=3 SV=1;Regular;2.042.509;0.00;553.740.486;13;1;51;2.42;22352;0;14171;;;Green;1236 9339 11017 11038
11038;K2C73_MOUSE;Q6NXH9;Keratin_ type II cytoskeletal 73 OS=Mus musculus OX=10090 GN=Krt73 PE=1 SV=1;Regular;2.042.509;0.00;595.388.230;13;1;53;2.23;22352;0;14171;;;Green;1236 9339 11017 13831
11017;K2C1B_MOUSE;Q6IFZ6;Keratin_ type II cytoskeletal 1b OS=Mus musculus OX=10090 GN=Krt77 PE=1 SV=1;Regular;2.042.509;0.00;614.158.812;13;1;51;2.10;22352;0;14171;;;Green;1236 9339 11038 13831
9339;K2C71_MOUSE;Q9R0H5;Keratin_ type II cytoskeletal 71 OS=Mus musculus OX=10090 GN=Krt71 PE=1 SV=1;Regular;2.042.509;0.00;578.958.400;13;1;50;2.29;22352;0;14171;;;Green;1236 11017 11038 13831
8300;H2B3A_MOUSE;Q9D2U9;H2B.U histone 2 OS=Mus musculus OX=10090 GN=H2bu2 PE=1 SV=3;Regular;1.996.872;0.00;139.942.287;6;1;15;7.14;7160;0;3819;;;Green;1489 1490 3262 4998 4999 5013 5014 5448 6625 6626 6627
6625;H2B3B_MOUSE;Q8CGP0;Histone H2B type 3-B OS=Mus musculus OX=10090 GN=H2bc26 PE=1 SV=3;Regular;1.996.872;0.00;139.081.352;6;1;15;7.14;7160;0;3819;;;Green;1489 1490 3262 4998 4999 5013 5014 5448 6626 6627 8300
5013;H2B2E_MOUSE;Q64524;Histone H2B type 2-E OS=Mus musculus OX=10090 GN=H2bc21 PE=1 SV=3;Regular;1.996.872;0.00;139.932.843;6;1;15;7.14;7160;0;3819;;;Green;1489 1490 3262 4998 4999 5014 5448 6625 6626 6627 8300
3262;H2B1A_MOUSE;P70696;Histone H2B type 1-A OS=Mus musculus OX=10090 GN=H2bc1 PE=1 SV=3;Regular;1.996.872;0.00;142.936.761;6;1;16;7.09;7160;0;3819;;;Green;1489 1490 4998 4999 5013 5014 5448 6625 6626 6627 8300
31741;REVERSE13951;REVERSE13951;Reversed Sequence 13951;Reverse;794.277;2.56;245.940.232;9;2;32;8.65;3298;4947;3520;;;Green;
