protein.key;protein.Entry;protein.Accession;protein.Description;protein.dataBaseType;protein.score;protein.falsePositiveRate;protein.avgMass;protein.MatchedProducts;protein.matchedPeptides;protein.digestPeps;protein.seqCover(%);protein.MatchedPeptideIntenSum;protein.top3MatchedPeptideIntenSum;protein.MatchedProductIntenSum;protein.fmolOnColumn;protein.ngramOnColumn;protein.AutoCurate;protein.Key_ForHomologs
226;H2A1I_MOUSE;C0HKE6;Histone H2A type 1-I OS=Mus musculus OX=10090 GN=H2ac13 PE=1 SV=1;Regular;46.737.150;0.00;141.355.084;41;2;9;21.54;246296;0;198473;;;Green;221 222 223 224 225 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
225;H2A1G_MOUSE;C0HKE5;Histone H2A type 1-G OS=Mus musculus OX=10090 GN=H2ac11 PE=1 SV=1;Regular;46.737.150;0.00;141.355.084;41;2;9;21.54;246296;0;198473;;;Green;221 222 223 224 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
224;H2A1E_MOUSE;C0HKE4;Histone H2A type 1-E OS=Mus musculus OX=10090 GN=H2ac8 PE=1 SV=1;Regular;46.737.150;0.00;141.355.084;41;2;9;21.54;246296;0;198473;;;Green;221 222 223 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
223;H2A1D_MOUSE;C0HKE3;Histone H2A type 1-D OS=Mus musculus OX=10090 GN=H2ac7 PE=1 SV=1;Regular;46.737.150;0.00;141.355.084;41;2;9;21.54;246296;0;198473;;;Green;221 222 224 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
222;H2A1C_MOUSE;C0HKE2;Histone H2A type 1-C OS=Mus musculus OX=10090 GN=H2ac6 PE=1 SV=1;Regular;46.737.150;0.00;141.355.084;41;2;9;21.54;246296;0;198473;;;Green;221 223 224 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
221;H2A1B_MOUSE;C0HKE1;Histone H2A type 1-B OS=Mus musculus OX=10090 GN=H2ac4 PE=1 SV=1;Regular;46.737.150;0.00;141.355.084;41;2;9;21.54;246296;0;198473;;;Green;222 223 224 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
3020;H4_MOUSE;P62806;Histone H4 OS=Mus musculus OX=10090 GN=H4c1 PE=1 SV=2;Regular;43.527.960;0.00;113.673.627;75;9;11;60.19;503972;364965;288014;;;Green;
3093;ACTG_MOUSE;P63260;Actin_ cytoplasmic 2 OS=Mus musculus OX=10090 GN=Actg1 PE=1 SV=1;Regular;13.199.400;0.00;421.351.246;123;13;37;40.27;503599;0;310765;;;Green;2923 3014 3094 3108 3111 11329
2923;ACTB_MOUSE;P60710;Actin_ cytoplasmic 1 OS=Mus musculus OX=10090 GN=Actb PE=1 SV=1;Regular;13.199.400;0.00;420.790.170;124;13;37;40.27;518259;269790;312376;;;Green;3014 3093 3094 3108 3111 11329
10637;H2AV_MOUSE;Q3THW5;Histone H2A.V OS=Mus musculus OX=10090 GN=H2az2 PE=1 SV=3;Regular;9.753.346;0.00;135.086.993;12;1;9;7.03;193510;0;103461;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 11810
5011;H2A2B_MOUSE;Q64522;Histone H2A type 2-B OS=Mus musculus OX=10090 GN=H2ac21 PE=1 SV=3;Regular;9.753.346;0.00;140.133.593;12;1;9;6.92;193510;0;103461;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5012 5147 5878 6628 6629 6630 10637 11810
2021;H2AX_MOUSE;P27661;Histone H2AX OS=Mus musculus OX=10090 GN=H2ax PE=1 SV=2;Regular;9.753.346;0.00;151.426.137;12;1;12;6.29;193510;0;103461;;;Green;221 222 223 224 225 226 227 228 229 1421 5011 5012 5147 5878 6628 6629 6630 10637 11810
1421;H2AZ_MOUSE;P0C0S6;Histone H2A.Z OS=Mus musculus OX=10090 GN=H2az1 PE=1 SV=2;Regular;9.753.346;0.00;135.527.525;12;1;9;7.03;193510;0;103461;;;Green;221 222 223 224 225 226 227 228 229 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
6627;H2B1P_MOUSE;Q8CGP2;Histone H2B type 1-P OS=Mus musculus OX=10090 GN=Hist1h2bp PE=1 SV=3;Regular;8.973.162;0.00;139.922.965;29;3;15;23.02;238198;0;86962;;;Green;1489 1490 3262 4998 4999 5013 5014 5448 6625 6626 8300
6626;H2B1K_MOUSE;Q8CGP1;Histone H2B type 1-K OS=Mus musculus OX=10090 GN=H2bc12 PE=1 SV=3;Regular;8.973.162;0.00;139.201.895;29;3;15;23.02;238198;0;86962;;;Green;1489 1490 3262 4998 4999 5013 5014 5448 6625 6627 8300
5448;H2B1C_MOUSE;Q6ZWY9;Histone H2B type 1-C/E/G OS=Mus musculus OX=10090 GN=H2bc4 PE=1 SV=3;Regular;8.973.162;0.00;139.061.627;29;3;15;23.02;238198;0;86962;;;Green;1489 1490 3262 4998 4999 5013 5014 6625 6626 6627 8300
5014;H2B2B_MOUSE;Q64525;Histone H2B type 2-B OS=Mus musculus OX=10090 GN=Hist2h2bb PE=1 SV=3;Regular;8.973.162;0.00;139.201.896;29;3;15;23.02;238198;0;86962;;;Green;1489 1490 3262 4998 4999 5013 5448 6625 6626 6627 8300
4999;H2B1H_MOUSE;Q64478;Histone H2B type 1-H OS=Mus musculus OX=10090 GN=H2bc9 PE=1 SV=3;Regular;8.973.162;0.00;139.201.896;29;3;15;23.02;238198;0;86962;;;Green;1489 1490 3262 4998 5013 5014 5448 6625 6626 6627 8300
4998;H2B1B_MOUSE;Q64475;Histone H2B type 1-B OS=Mus musculus OX=10090 GN=H2bc3 PE=1 SV=3;Regular;8.973.162;0.00;139.521.883;29;3;15;23.02;238198;0;86962;;;Green;1489 1490 3262 4999 5013 5014 5448 6625 6626 6627 8300
1490;H2B1M_MOUSE;P10854;Histone H2B type 1-M OS=Mus musculus OX=10090 GN=H2bc14 PE=1 SV=2;Regular;8.973.162;0.00;139.361.890;29;3;15;23.02;238198;0;86962;;;Green;1489 3262 4998 4999 5013 5014 5448 6625 6626 6627 8300
1489;H2B1F_MOUSE;P10853;Histone H2B type 1-F/J/L OS=Mus musculus OX=10090 GN=H2bc7 PE=1 SV=2;Regular;8.973.162;0.00;139.361.889;29;3;15;23.02;238198;238198;86962;;;Green;1490 3262 4998 4999 5013 5014 5448 6625 6626 6627 8300
1792;VIME_MOUSE;P20152;Vimentin OS=Mus musculus OX=10090 GN=Vim PE=1 SV=3;Regular;6.411.678;0.00;537.447.779;126;14;49;34.33;387386;172529;270555;;;Green;1361 1362 1776 2141 2448
8300;H2B3A_MOUSE;Q9D2U9;H2B.U histone 2 OS=Mus musculus OX=10090 GN=H2bu2 PE=1 SV=3;Regular;6.109.026;0.00;139.942.287;19;2;15;15.87;199262;0;55336;;;Green;1489 1490 3262 4998 4999 5013 5014 5448 6625 6626 6627
6625;H2B3B_MOUSE;Q8CGP0;Histone H2B type 3-B OS=Mus musculus OX=10090 GN=H2bc26 PE=1 SV=3;Regular;6.109.026;0.00;139.081.352;19;2;15;15.87;199262;0;55336;;;Green;1489 1490 3262 4998 4999 5013 5014 5448 6626 6627 8300
5013;H2B2E_MOUSE;Q64524;Histone H2B type 2-E OS=Mus musculus OX=10090 GN=H2bc21 PE=1 SV=3;Regular;6.109.026;0.00;139.932.843;19;2;15;15.87;199262;0;55336;;;Green;1489 1490 3262 4998 4999 5014 5448 6625 6626 6627 8300
3262;H2B1A_MOUSE;P70696;Histone H2B type 1-A OS=Mus musculus OX=10090 GN=H2bc1 PE=1 SV=3;Regular;6.109.026;0.00;142.936.761;19;2;16;15.75;199262;0;55336;;;Green;1489 1490 4998 4999 5013 5014 5448 6625 6626 6627 8300
3111;ACTS_MOUSE;P68134;Actin_ alpha skeletal muscle OS=Mus musculus OX=10090 GN=Acta1 PE=1 SV=1;Regular;4.603.821;0.00;423.933.153;73;9;37;21.22;292469;0;203964;;;Green;2923 3014 3093 3094 3108 11329
3108;ACTC_MOUSE;P68033;Actin_ alpha cardiac muscle 1 OS=Mus musculus OX=10090 GN=Actc1 PE=1 SV=1;Regular;4.603.821;0.00;423.612.493;73;9;37;21.22;292469;0;203964;;;Green;2923 3014 3093 3094 3111 11329
3094;ACTH_MOUSE;P63268;Actin_ gamma-enteric smooth muscle OS=Mus musculus OX=10090 GN=Actg2 PE=1 SV=1;Regular;3.384.308;0.00;422.761.803;59;8;36;18.35;241714;0;161957;;;Green;2923 3014 3093 3108 3111 11329
3014;ACTA_MOUSE;P62737;Actin_ aortic smooth muscle OS=Mus musculus OX=10090 GN=Acta2 PE=1 SV=1;Regular;3.384.308;0.00;424.082.561;59;8;37;18.30;241714;0;161957;;;Green;2923 3093 3094 3108 3111 11329
15771;WFD11_MOUSE;A2A5H7;Protein WFDC11 OS=Mus musculus OX=10090 GN=Wfdc11 PE=3 SV=1;Regular;3.124.303;0.00;101.716.624;9;1;7;28.05;988;2964;2068;;;Green;
1785;BIP_MOUSE;P20029;Endoplasmic reticulum chaperone BiP OS=Mus musculus OX=10090 GN=Hspa5 PE=1 SV=3;Regular;3.075.474;0.00;725.362.072;64;13;60;20.46;86474;39862;59387;;;Green;
1461;ANXA1_MOUSE;P10107;Annexin A1 OS=Mus musculus OX=10090 GN=Anxa1 PE=1 SV=2;Regular;2.825.233;0.00;390.195.088;37;7;35;23.12;35998;21838;29672;;;Green;
11329;ACTBL_MOUSE;Q8BFZ3;Beta-actin-like protein 2 OS=Mus musculus OX=10090 GN=Actbl2 PE=1 SV=1;Regular;2.514.366;0.00;423.464.809;29;5;38;17.82;66677;0;65548;;;Green;2923 3014 3093 3094 3108 3111
3481;TBB5_MOUSE;P99024;Tubulin beta-5 chain OS=Mus musculus OX=10090 GN=Tubb5 PE=1 SV=1;Regular;2.233.108;0.00;501.271.555;27;3;32;8.11;31732;30468.08;35072;;;Green;3116 8362
1275;TBA1B_MOUSE;P05213;Tubulin alpha-1B chain OS=Mus musculus OX=10090 GN=Tuba1b PE=1 SV=2;Regular;1.534.581;0.00;508.360.402;41;7;35;14.63;66624;21294;47640;;;Green;3114 3115 3117
4747;PDCD4_MOUSE;Q61823;Programmed cell death protein 4 OS=Mus musculus OX=10090 GN=Pdcd4 PE=1 SV=1;Regular;1.481.253;0.00;521.014.557;34;4;43;17.27;27578;25427;47142;;;Green;
1346;ENPL_MOUSE;P08113;Endoplasmin OS=Mus musculus OX=10090 GN=Hsp90b1 PE=1 SV=2;Regular;1.342.875;0.00;927.610.585;57;10;90;9.73;61886;38672;64198;;;Green;
3117;TBA1C_MOUSE;P68373;Tubulin alpha-1C chain OS=Mus musculus OX=10090 GN=Tuba1c PE=1 SV=1;Regular;1.322.769;0.00;505.937.651;33;6;35;11.80;63990;0;44060;;;Green;1275 3114 3115
2463;ALDH2_MOUSE;P47738;Aldehyde dehydrogenase_ mitochondrial OS=Mus musculus OX=10090 GN=Aldh2 PE=1 SV=1;Regular;1.294.972;0.00;570.508.745;28;4;43;7.90;21290;18678;20265;;;Green;
3116;TBB4B_MOUSE;P68372;Tubulin beta-4B chain OS=Mus musculus OX=10090 GN=Tubb4b PE=1 SV=1;Regular;1.227.811;0.00;502.873.523;14;2;32;4.72;9503;8.572.385;14679;;;Green;3481 8362
3059;HSP7C_MOUSE;P63017;Heat shock cognate 71 kDa protein OS=Mus musculus OX=10090 GN=Hspa8 PE=1 SV=1;Regular;1.215.564;0.00;710.992.839;20;4;55;6.97;25912;20408;21268;;;Green;
14209;HAUS1_MOUSE;Q8BHX1;HAUS augmin-like complex subunit 1 OS=Mus musculus OX=10090 GN=Haus1 PE=1 SV=2;Regular;1.185.371;0.00;314.362.260;16;4;31;10.43;10669;8610;18566;;;Yellow;
14852;SEGN_MOUSE;Q91WD9;Secretagogin OS=Mus musculus OX=10090 GN=Scgn PE=2 SV=1;Regular;1.080.267;0.00;323.738.888;9;2;31;7.97;6350;9525;14090;;;Green;
3115;TBA1A_MOUSE;P68369;Tubulin alpha-1A chain OS=Mus musculus OX=10090 GN=Tuba1a PE=1 SV=1;Regular;1.075.025;0.00;508.200.409;27;5;35;8.65;60336;0;40850;;;Green;1275 3114 3117
8362;TBB4A_MOUSE;Q9D6F9;Tubulin beta-4A chain OS=Mus musculus OX=10090 GN=Tubb4a PE=1 SV=3;Regular;954.691;0.00;500.421.169;8;1;32;2.03;5052;0;5874;;;Green;3116 3481
17178;RM35_MOUSE;Q9CQL6;Large ribosomal subunit protein bL35m OS=Mus musculus OX=10090 GN=Mrpl35 PE=2 SV=1;Regular;882.628;0.00;217.864.370;5;2;16;7.45;8849;11559;4860;;;Red;
3114;TBA4A_MOUSE;P68368;Tubulin alpha-4A chain OS=Mus musculus OX=10090 GN=Tuba4a PE=1 SV=1;Regular;861.023;0.00;506.658.458;28;5;35;11.38;59027;0;35695;;;Yellow;1275 3115 3117
1362;NFM_MOUSE;P08553;Neurofilament medium polypeptide OS=Mus musculus OX=10090 GN=Nefm PE=1 SV=4;Regular;850.411;0.00;960.302.895;20;5;113;2.59;32400;5135.93;23667;;;Green;1361 1776 1792 2141 2448
26671;REVERSE8881;REVERSE8881;Reversed Sequence 8881;Reverse;813.671;1.67;548.375.898;15;3;23;5.10;10359;7503;13857;;;Yellow;
27075;REVERSE9285;REVERSE9285;Reversed Sequence 9285;Reverse;803.704;3.28;266.965.202;7;1;24;6.09;9166;27498;12842;;;Yellow;
1361;NFL_MOUSE;P08551;Neurofilament light polypeptide OS=Mus musculus OX=10090 GN=Nefl PE=1 SV=5;Regular;748.371;3.23;615.655.612;17;4;78;1.66;29804;0;19737;;;Green;1362 1776 1792 2141 2448
2448;AINX_MOUSE;P46660;Alpha-internexin OS=Mus musculus OX=10090 GN=Ina PE=1 SV=3;Regular;721.791;3.17;555.537.302;14;2;58;1.80;23602;0;16242;;;Green;1361 1362 1776 1792 2141
2141;DESM_MOUSE;P31001;Desmin OS=Mus musculus OX=10090 GN=Des PE=1 SV=3;Regular;721.791;3.13;535.549.002;21;2;53;4.69;38039;0;28843;;;Green;1361 1362 1776 1792 2448
1776;NFH_MOUSE;P19246;Neurofilament heavy polypeptide OS=Mus musculus OX=10090 GN=Nefh PE=1 SV=3;Regular;721.791;3.08;1.172.795.454;14;2;150;0.83;23602;0;16242;;;Green;1361 1362 1792 2141 2448
1780;NELFE_MOUSE;P19426;Negative elongation factor E OS=Mus musculus OX=10090 GN=Nelfe PE=1 SV=2;Regular;715.234;3.03;426.682.163;21;4;357;8.53;12971;9259.5;19571;;;Yellow;
4737;KINH_MOUSE;Q61768;Kinesin-1 heavy chain OS=Mus musculus OX=10090 GN=Kif5b PE=1 SV=3;Regular;713.962;2.99;1.102.930.169;30;9;103;7.58;54850;10367;38753;;;Yellow;2079
15587;TMOD4_MOUSE;Q9JLH8;Tropomodulin-4 OS=Mus musculus OX=10090 GN=Tmod4 PE=2 SV=1;Regular;670.260;2.94;396.036.439;9;3;36;5.51;29225;59136;18458;;;Red;
1324;ANXA2_MOUSE;P07356;Annexin A2 OS=Mus musculus OX=10090 GN=Anxa2 PE=1 SV=2;Regular;666.493;2.90;389.614.131;19;3;33;11.50;14479;14479;18400;;;Red;
2079;KIF5C_MOUSE;P28738;Kinesin heavy chain isoform 5C OS=Mus musculus OX=10090 GN=Kif5c PE=1 SV=3;Regular;539.774;2.86;1.098.449.859;29;7;104;8.05;20172;12602;30727;;;Yellow;4737
