protein.key;protein.Entry;protein.Accession;protein.Description;protein.dataBaseType;protein.score;protein.falsePositiveRate;protein.avgMass;protein.MatchedProducts;protein.matchedPeptides;protein.digestPeps;protein.seqCover(%);protein.MatchedPeptideIntenSum;protein.top3MatchedPeptideIntenSum;protein.MatchedProductIntenSum;protein.fmolOnColumn;protein.ngramOnColumn;protein.AutoCurate;protein.Key_ForHomologs
10637;H2AV_MOUSE;Q3THW5;Histone H2A.V OS=Mus musculus OX=10090 GN=H2az2 PE=1 SV=3;Regular;7.159.225;0.00;135.086.993;17;2;9;12.50;37583;0;28478;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 11810
2021;H2AX_MOUSE;P27661;Histone H2AX OS=Mus musculus OX=10090 GN=H2ax PE=1 SV=2;Regular;7.159.225;0.00;151.426.137;17;2;12;11.19;37583;0;28478;;;Green;221 222 223 224 225 226 227 228 229 1421 5011 5012 5147 5878 6628 6629 6630 10637 11810
1421;H2AZ_MOUSE;P0C0S6;Histone H2A.Z OS=Mus musculus OX=10090 GN=H2az1 PE=1 SV=2;Regular;7.159.225;0.00;135.527.525;17;2;9;12.50;37583;0;28478;;;Green;221 222 223 224 225 226 227 228 229 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
6627;H2B1P_MOUSE;Q8CGP2;Histone H2B type 1-P OS=Mus musculus OX=10090 GN=Hist1h2bp PE=1 SV=3;Regular;6.880.080;0.00;139.922.965;21;3;15;19.84;47075;0;24895;;;Green;1489 1490 3262 4998 4999 5013 5014 5448 6625 6626 8300
6626;H2B1K_MOUSE;Q8CGP1;Histone H2B type 1-K OS=Mus musculus OX=10090 GN=H2bc12 PE=1 SV=3;Regular;6.880.080;0.00;139.201.895;21;3;15;19.84;47075;0;24895;;;Green;1489 1490 3262 4998 4999 5013 5014 5448 6625 6627 8300
5448;H2B1C_MOUSE;Q6ZWY9;Histone H2B type 1-C/E/G OS=Mus musculus OX=10090 GN=H2bc4 PE=1 SV=3;Regular;6.880.080;0.00;139.061.627;21;3;15;19.84;47075;0;24895;;;Green;1489 1490 3262 4998 4999 5013 5014 6625 6626 6627 8300
5014;H2B2B_MOUSE;Q64525;Histone H2B type 2-B OS=Mus musculus OX=10090 GN=Hist2h2bb PE=1 SV=3;Regular;6.880.080;0.00;139.201.896;21;3;15;19.84;47075;0;24895;;;Green;1489 1490 3262 4998 4999 5013 5448 6625 6626 6627 8300
4999;H2B1H_MOUSE;Q64478;Histone H2B type 1-H OS=Mus musculus OX=10090 GN=H2bc9 PE=1 SV=3;Regular;6.880.080;0.00;139.201.896;21;3;15;19.84;47075;0;24895;;;Green;1489 1490 3262 4998 5013 5014 5448 6625 6626 6627 8300
4998;H2B1B_MOUSE;Q64475;Histone H2B type 1-B OS=Mus musculus OX=10090 GN=H2bc3 PE=1 SV=3;Regular;6.880.080;0.00;139.521.883;21;3;15;19.84;47075;0;24895;;;Green;1489 1490 3262 4999 5013 5014 5448 6625 6626 6627 8300
1490;H2B1M_MOUSE;P10854;Histone H2B type 1-M OS=Mus musculus OX=10090 GN=H2bc14 PE=1 SV=2;Regular;6.880.080;0.00;139.361.890;21;3;15;19.84;47075;0;24895;;;Green;1489 3262 4998 4999 5013 5014 5448 6625 6626 6627 8300
1489;H2B1F_MOUSE;P10853;Histone H2B type 1-F/J/L OS=Mus musculus OX=10090 GN=H2bc7 PE=1 SV=2;Regular;6.880.080;0.00;139.361.889;21;3;15;19.84;47075;47075;24895;;;Green;1490 3262 4998 4999 5013 5014 5448 6625 6626 6627 8300
5011;H2A2B_MOUSE;Q64522;Histone H2A type 2-B OS=Mus musculus OX=10090 GN=H2ac21 PE=1 SV=3;Regular;6.746.176;0.00;140.133.593;13;1;9;6.92;33208;0;25214;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5012 5147 5878 6628 6629 6630 10637 11810
3262;H2B1A_MOUSE;P70696;Histone H2B type 1-A OS=Mus musculus OX=10090 GN=H2bc1 PE=1 SV=3;Regular;5.887.818;0.00;142.936.761;16;2;16;12.60;37704;0;22493;;;Green;1489 1490 4998 4999 5013 5014 5448 6625 6626 6627 8300
8300;H2B3A_MOUSE;Q9D2U9;H2B.U histone 2 OS=Mus musculus OX=10090 GN=H2bu2 PE=1 SV=3;Regular;4.582.681;0.00;139.942.287;8;1;15;7.14;33679;0;15110;;;Green;1489 1490 3262 4998 4999 5013 5014 5448 6625 6626 6627
6625;H2B3B_MOUSE;Q8CGP0;Histone H2B type 3-B OS=Mus musculus OX=10090 GN=H2bc26 PE=1 SV=3;Regular;4.582.681;0.00;139.081.352;8;1;15;7.14;33679;0;15110;;;Green;1489 1490 3262 4998 4999 5013 5014 5448 6626 6627 8300
5013;H2B2E_MOUSE;Q64524;Histone H2B type 2-E OS=Mus musculus OX=10090 GN=H2bc21 PE=1 SV=3;Regular;4.582.681;0.00;139.932.843;8;1;15;7.14;33679;0;15110;;;Green;1489 1490 3262 4998 4999 5014 5448 6625 6626 6627 8300
3093;ACTG_MOUSE;P63260;Actin_ cytoplasmic 2 OS=Mus musculus OX=10090 GN=Actg1 PE=1 SV=1;Regular;4.116.805;0.00;421.351.246;60;9;37;20.80;68052;0;43174;;;Green;2923 3014 3094 3108 3111
2923;ACTB_MOUSE;P60710;Actin_ cytoplasmic 1 OS=Mus musculus OX=10090 GN=Actb PE=1 SV=1;Regular;4.116.805;0.00;420.790.170;60;9;37;20.80;70855;47203;43174;;;Green;3014 3093 3094 3108 3111
1792;VIME_MOUSE;P20152;Vimentin OS=Mus musculus OX=10090 GN=Vim PE=1 SV=3;Regular;2.939.516;0.00;537.447.779;63;11;49;24.68;70066;36824;43287;;;Green;
3111;ACTS_MOUSE;P68134;Actin_ alpha skeletal muscle OS=Mus musculus OX=10090 GN=Acta1 PE=1 SV=1;Regular;2.412.130;0.00;423.933.153;43;7;37;13.26;40738;0;33961;;;Green;2923 3014 3093 3094 3108
3108;ACTC_MOUSE;P68033;Actin_ alpha cardiac muscle 1 OS=Mus musculus OX=10090 GN=Actc1 PE=1 SV=1;Regular;2.412.130;0.00;423.612.493;43;7;37;13.26;40738;0;33961;;;Green;2923 3014 3093 3094 3111
3094;ACTH_MOUSE;P63268;Actin_ gamma-enteric smooth muscle OS=Mus musculus OX=10090 GN=Actg2 PE=1 SV=1;Regular;2.122.761;0.00;422.761.803;37;6;36;10.37;38633;0;28668;;;Green;2923 3014 3093 3108 3111
3014;ACTA_MOUSE;P62737;Actin_ aortic smooth muscle OS=Mus musculus OX=10090 GN=Acta2 PE=1 SV=1;Regular;2.122.761;0.00;424.082.561;37;6;37;10.34;38633;0;28668;;;Green;2923 3093 3094 3108 3111
9405;TBD_MOUSE;Q9R1K7;Tubulin delta chain OS=Mus musculus OX=10090 GN=Tubd1 PE=1 SV=1;Regular;862.600;0.00;514.223.217;25;3;39;11.87;6922;8268;9934;;;Green;
26881;REVERSE9091;REVERSE9091;Reversed Sequence 9091;Reverse;709.662;2.38;476.072.667;16;3;35;7.69;21617;28051.5;9209;;;Yellow;
3010;EF1A2_MOUSE;P62631;Elongation factor 1-alpha 2 OS=Mus musculus OX=10090 GN=Eef1a2 PE=1 SV=1;Regular;693.753;2.33;507.964.128;14;4;36;9.29;8742;0;9527;;;Green;1462
1462;EF1A1_MOUSE;P10126;Elongation factor 1-alpha 1 OS=Mus musculus OX=10090 GN=Eef1a1 PE=1 SV=3;Regular;693.753;2.27;504.560.942;14;4;36;9.31;8742;7391;9527;;;Green;3010
